reference,publication_year,eon,era,period,epoch,age,framework,depo_env1,depo_env2,depo_env3,paleo_lat,paleo_long,modern_lat,modern_long,numberOfSamples,NumberOfPointsPerSample,microbial,green_algae,red_algae,prob_alga,calc_alga,sponges,sponges_silica,sponges_archaeocyath,sponges_calc,pelagic_foram,foraminifera,bryozoans,graptolites,cephalopods,annelids,sclerec_corals,rugose_corals,corals,trilobite,ostracods,barnacles,brachiopods,gastropods,bivalves,molluska,echinoderm,echinoids,crinoids,radiolarians,calcispheres,unid_biota,other_metazoans,skeletal_total,alga+micro_total,animals_total,protists_total,total_animals_new,total_protists_new,total_alga_new,ooids,peloids,cement,micrite,siliciclastics,fecal_pellets,other_abiotic,Pore Space,organic_matter,Glauconite and other minerals,Vertebrate fossils,Phosphates,Glauconite,carbonate_clasts,mean_ma,Dolomite,Pyrite,Cortoids,alga_total,Anhydrite,Paleocontinents1
Pruss et al,2010,Phanerozoic,Paleozoic,Cambrian,Furongian,,platform,innerPlatform,peritidal,,,,48.0,-59.0,1,202.0,27.22772277227723,,,,,0.0,,,,,,,,,,,,,14.85148514851485,0.0,,0.49504950495049505,0.0,0.0,0.0,0.0,,,,,0.0,,15.346534653465346,0.0,15.346534653465346,0.0,15.346534653465346,-1.0,-1.0,0.0,0.0,4.9504950495049505,39.10891089108911,,,13.366336633663368,,,,,,,,513.2,,,,,,Laurentia
Pruss et al,2010,Phanerozoic,Paleozoic,Cambrian,Series 3,,platform,innerPlatform,peritidal,,,,48.0,-59.0,1,200.0,2.5,,,,,0.0,,,,,,,,,,,,,4.5,0.0,,0.5,0.0,0.0,0.0,8.0,,,,,2.0,,15.0,0.0,15.0,0.0,15.0,-1.0,-1.0,0.0,0.0,42.5,20.5,,,19.5,,,,,,,,513.2,,,,,,Laurentia
Pruss et al,2010,Phanerozoic,Paleozoic,Cambrian,Series 3,,platform,innerPlatform,peritidal,,,,48.0,-59.0,1,201.0,23.383084577114428,,,,,0.0,,,,,,,,,,,,,11.442786069651742,0.0,,0.0,0.0,0.0,0.0,0.9950248756218906,,,,,1.4925373134328357,,13.930348258706468,0.0,13.930348258706468,0.0,13.930348258706468,-1.0,-1.0,0.0,0.0,9.45273631840796,52.736318407960205,,,0.4975124378109453,,,,,,,,513.2,,,,,,Laurentia
Pruss et al,2012,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,innerPlatform,reef,,,,51.0,-56.0,1,200.0,9.0,,,,,0.0,,13.5,,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,13.5,0.0,13.5,0.0,13.5,-1.0,-1.0,,,28.000000000000004,48.5,0.0,,1.0,,0.0,,,0.0,,,513.2,0.0,,,,,Laurentia
Pruss et al,2012,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,innerPlatform,interReef,,,,51.0,-56.0,1,200.0,0.0,,,,,0.0,,4.0,,,,,,,,,,,0.5,0.0,,0.0,,,,8.5,,,,,0.5,0.0,13.5,0.0,13.5,0.0,13.5,-1.0,-1.0,,,61.0,19.0,0.0,,0.0,,0.5,,,0.5,,,513.2,5.5,,,,,Laurentia
Pruss et al,2010,Phanerozoic,Paleozoic,Cambrian,Furongian,,platform,innerPlatform,peritidal,,,,48.0,-59.0,1,200.0,0.0,,,,,0.0,,,,,,,,,,,,,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,13.0,0.0,13.0,0.0,13.0,-1.0,-1.0,0.0,0.0,0.5,32.0,,,54.5,,,,,,,,513.2,,,,,,Laurentia
Pruss et al,2012,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,innerPlatform,reef,,,,51.0,-56.0,1,200.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,7.000000000000001,0.0,,0.0,,,,1.5,,,,,1.5,3.0,13.0,0.0,10.0,0.0,10.0,-1.0,-1.0,,,52.0,23.0,0.0,,0.5,,3.5000000000000004,,,1.0,,,513.2,7.000000000000001,,,,,Laurentia
Pruss et al,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,platformMargin,reef,,,,37.0,-117.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,8.0,,,1.5,,,,0.5,,,,,3.0,0.0,13.0,0.0,13.0,0.0,13.0,-1.0,-1.0,,0.0,63.0,21.0,0.0,,2.0,,0.0,1.0,,,,,513.2,,,,,,Laurentia
Pruss et al,2012,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,innerPlatform,interReef,,,,51.0,-56.0,1,200.0,20.5,,,,,0.0,,5.0,,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,,,1.0,0.0,6.0,0.0,6.0,0.0,6.0,-1.0,-1.0,,,11.5,62.0,0.0,,0.0,,0.0,,,0.0,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,12.666666666666666,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,14.0,73.33333333333333,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
